Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
09/03/2017,PONT,4D,,SIL,AH28462,IL,701 N. Sacramento,(773) 265-7605,6895835
07/07/2017,GMC,PK,,TAN,,IL,701 N. Sacramento,(773) 265-7605,6890870
09/06/2017,FORD,2D,,WHI,AD72274,IL,10300 S. Doty,(773) 568-8495,2830932
09/06/2017,INFI,4D,,GRY,V468431,IL,701 N. Sacramento,(773) 265-7605,6896071
07/11/2017,FORD,4D,,BLU,AH31475,IL,701 N. Sacramento,(773) 265-7605,6891203
08/04/2017,KIA,4D,,RED,6098857,IN,10300 S. Doty,(773) 568-8495,2828162
08/04/2017,TOYT,LL,,SIL,Q623936,IL,701 N. Sacramento,(773) 265-7605,6893306
08/04/2017,DODG,4D,,RED,688T969,IL,10300 S. Doty,(773) 568-8495,2828164
08/04/2017,HOND,4D,,BLU,V173687,IL,10300 S. Doty,(773) 568-8495,2828163
08/04/2017,TOYT,4D,,TAN,E238757,IL,701 N. Sacramento,(773) 265-7605,6893307
08/04/2017,JEEP,4D,,RED,R989906,IL,701 N. Sacramento,(773) 265-7605,6893314
08/04/2017,TOYT,4D,,GRY,AL54833,IL,701 N. Sacramento,(773) 265-7605,6893315
08/04/2017,TOYT,4D,,BLU,E800611,IL,10300 S. Doty,(773) 568-8495,2828170
08/04/2017,LINC,LL,,WHI,Q996434,IL,701 N. Sacramento,(773) 265-7605,6893310
08/04/2017,SATR,4D,,GRN,,IL,10300 S. Doty,(773) 785-9752,1717404
07/30/2017,FORD,LL,,BLK,,,10300 S. Doty,(773) 568-8495,2827732
08/04/2017,DODG,PK,,SIL,28173ZB,IL,10300 S. Doty,(773) 785-9752,1717405
08/04/2017,DODG,4D,,GRN,Z995010,IL,10300 S. Doty,(773) 785-9752,1717408
08/04/2017,FORD,VN,,BLK,1296421B,IL,10300 S. Doty,(773) 785-9752,1717407
08/04/2017,TOYT,4D,,WHI,ZU36676,IL,701 N. Sacramento,(773) 265-7605,6893353
08/05/2017,HOND,4D,,BLU,AH30800,IL,701 N. Sacramento,(773) 265-7605,6893444
08/05/2017,SAA,4D,,GRY,,IL,10300 S. Doty,(773) 568-8495,2828383
08/05/2017,CHEV,LL,,SIL,ZY25350,IL,701 N. Sacramento,(773) 265-7605,6893445
09/04/2017,CHRY,VN,,RED,ZY95993,IL,701 N. Sacramento,(773) 265-7605,6895967
07/10/2017,HOND,4D,,WHI,AG22498,IL,701 N. Sacramento,(773) 265-7605,6891146
08/08/2017,MERZ,4D,,BLK,Y701939,IL,701 N. Sacramento,(773) 265-1846,1536280
08/08/2017,MERC,4D,,BLU,,IL,701 N. Sacramento,(773) 265-7605,6893658
07/10/2017,CHEV,2D,,BLK,265T898,IL,701 N. Sacramento,(773) 265-7605,6891144
08/08/2017,TOYT,4D,,BLK,Z158136,IL,10300 S. Doty,(773) 568-8495,2828544
07/06/2017,CHEV,4D,,MAR,,IL,10300 S. Doty,(773) 568-8495,2825930
09/05/2017,HOND,2D,CIV,BLU,PA8591,IN,701 N. Sacramento,(773) 265-7605,6896013
08/23/2017,ARCO,LL,,WHI,,IL,10300 S. Doty,(773) 785-9752,1717456
09/05/2017,MERC,4D,,PLE,,IL,701 N. Sacramento,(773) 265-1846,1536392
08/08/2017,TOYT,4D,,BLK,6369,IL,400 E. Lower Wacker,(312) 744-7550,971212
09/06/2017,FORD,LL,,WHI,796GAJ,IN,701 N. Sacramento,(773) 265-7605,6896090
09/06/2017,TOYT,4D,,WHI,,IL,701 N. Sacramento,(773) 265-7605,6896091
09/06/2017,CHEV,VN,,GRY,AG20476,IL,701 N. Sacramento,(773) 265-7605,6896092
09/06/2017,CHEV,2D,,RED,HSY9904,IN,701 N. Sacramento,(773) 265-7605,6896088
08/07/2017,FORD,4D,,BLK,AL16582,IL,701 N. Sacramento,(773) 265-7605,6893608
09/06/2017,SATR,4D,,GRY,V610771,IL,701 N. Sacramento,(773) 265-7605,6896086
09/06/2017,TOYT,4D,,BLU,Q828076,IL,701 N. Sacramento,(773) 265-7605,6896085
09/06/2017,MAZD,4D,,GRY,AM50294,IL,701 N. Sacramento,(773) 265-7605,6896089
08/04/2017,VOLV,4D,,BLU,AJ55289,IL,701 N. Sacramento,(773) 265-7605,6893316
08/08/2017,HOND,VN,,GRY,Q707109,IL,701 N. Sacramento,(773) 265-1846,1536282
07/10/2017,TOYT,4D,CAM,WHI,ZX86864,IL,701 N. Sacramento,(773) 265-7605,6891121
08/08/2017,FORD,4D,,GRY,Z719586,IL,10300 S. Doty,(773) 785-9752,1717415
08/08/2017,CHEV,4D,,GRY,9624748,IL,10300 S. Doty,(773) 785-9752,1717416
08/08/2017,NISS,2D,,RED,ZZ31809,IL,701 N. Sacramento,(773) 265-7605,6893648
09/05/2017,TOYT,4D,,GRY,Q811170,IL,400 E. Lower Wacker,(312) 744-7550,972991
07/10/2017,NISS,4D,,SIL,E126818,IL,10300 S. Doty,(773) 568-8495,2826322
09/06/2017,HOND,4D,ACC,RED,HQH465,MO,701 N. Sacramento,(773) 265-7605,6896059
08/31/2017,ACUR,2D,,SIL,AG50227,IL,10300 S. Doty,(773) 568-8495,2830389
08/31/2017,CHEV,2D,,SIL,,IL,10300 S. Doty,(773) 568-8495,2830390
08/31/2017,PONT,LL,,GRY,YEY218,IN,10300 S. Doty,(773) 568-8495,2830401
07/10/2017,BUIC,4D,,GRY,AL21061,IL,701 N. Sacramento,(773) 265-7605,6891154
08/31/2017,CHEV,CP,,GRN,Z672212,IL,10300 S. Doty,(773) 568-8495,2830394
08/31/2017,CHEV,4D,,TAN,AG58223,IL,10300 S. Doty,(773) 568-8495,2830482
08/31/2017,PONT,4D,,GRN,,,10300 S. Doty,(773) 568-8495,2830483
08/31/2017,DODG,LL,TK,BLU,Z679840,IL,10300 S. Doty,(773) 568-8495,2830481
08/31/2017,VOLV,4D,,BLU,186UBK,WI,10300 S. Doty,(773) 568-8495,2830485
09/01/2017,CHEV,2D,,WHI,Z727698,IL,10300 S. Doty,(773) 568-8495,2830534
09/01/2017,HYUN,,,BLU,Y846188,IL,10300 S. Doty,(773) 568-8495,2830536
09/01/2017,NISS,4D,,GRY,E388357,IL,701 N. Sacramento,(773) 265-7605,6895688
07/10/2017,HOND,4D,,BLU,R618210,IL,701 N. Sacramento,(773) 265-7605,6891139
08/31/2017,CHRY,4D,,RED,Q146843,IL,10300 S. Doty,(773) 568-8495,2830362
08/30/2017,BUIC,4D,,BLU,592T918,IL,701 N. Sacramento,(773) 265-7605,6895537
07/10/2017,DODG,VC,,RED,929MLC,IL,10300 S. Doty,(773) 568-8495,2826327
